FEN,Movimientos
r5k1/3bQ1pp/3pp3/p1p5/4P3/2NP3P/1q4P1/5R1K b - - 1 24,b2c3 e7f7 g8h8 f7f8 a8f8 f1f8
4r1k1/1Qp2pp1/pb1p3p/8/1PP4N/P5P1/5qBP/R5K1 w - - 0 21,g1h1 e8e1 a1e1 f2e1 g2f1 e1f1
4r3/1pp2rk1/p2p2p1/3P1q1p/2P5/1PN1Q1R1/P5PP/4R1K1 w - - 0 26,e3e8 f5f2 g1h1 f2f1 e1f1 f7f1
3r2k1/pb2qpp1/1p2p1n1/2p5/4PP2/1NP4Q/PP6/2KB3R b - - 2 24,b7e4 h3h7 g8f8 h7h8 g6h8 h1h8
8/1p3r1k/3Q2p1/1p6/rP2P2p/P6P/1B4PK/5q2 b - - 2 33,f7f2 d6e7 f2f7 e7h4 h7g8 h4h8
5rk1/5rpp/Q1p1p3/P2pB3/3P4/2P5/3b2PP/R5K1 w - - 1 31,a6c6 d2e3 g1h1 f7f1 a1f1 f8f1
5k2/1b6/4Bp1q/1P1p3N/2pP2Q1/r7/r5PP/1R5K b - - 0 33,a2a1 g4g8 f8e7 g8f7 e7d6 f7d7
3rr1k1/pp2Bppp/3p4/q2Np3/8/1P1Q4/P4PPP/3K3R b - - 2 20,d8c8 d5f6 g7f6 d3g3 g8h8 e7f6
3r4/5ppk/1p1q3p/1P2r3/4p3/2R1P1P1/1Q3PP1/2R3K1 w - - 1 31,c3c6 d6d1 c1d1 d8d1 g1h2 e5h5
r2q1rk1/2p2pp1/p2p3p/1p1nPQ2/1P4R1/8/P1Bb2PP/R5K1 b - - 1 20,g7g6 g4g6 f7g6 f5g6 g8h8 g6h7
1r4k1/2R3pp/4p3/3pN3/3P1pPb/1P3Pq1/2Q3PK/8 w - - 8 30,h2h1 g3e1 h1h2 h4g3 h2h3 e1h1
1b2q1k1/p2n1ppp/8/1QN5/3p4/1P1P3P/PBr2PP1/R4K2 w - - 0 24,c5d7 e8e2 f1g1 e2f2 g1h1 f2g2
r2q1r1k/p4p1p/8/2pp3R/3b2Q1/8/PPP3PP/R1B4K b - - 4 20,f8g8 h5h7 h8h7 g4h5 h7g7 h5h6
r5k1/pppb2pp/2n1p3/b5q1/3P4/P1NBPQ2/1P4PP/5RK1 b - - 3 17,a5c3 f3f7 g8h8 f7f8 a8f8 f1f8
r2qr1k1/ppp2pp1/1b1p4/3Pn1P1/7Q/2N2P2/PP3P2/2K1R2R b - - 1 19,e5g6 h4h7 g8f8 h7h8 g6h8 h1h8
r5k1/1bp3pp/p3p3/1p1p2q1/3Pn3/2P2QP1/PrB4P/RN3RK1 b - - 4 21,b2c2 f3f7 g8h8 f7f8 a8f8 f1f8
r5k1/pp2Rpp1/2p2n1p/3p4/3P4/P1N1QN2/1qP2PPP/6K1 w - - 0 18,f3e5 b2a1 c3b1 a1b1 e3c1 b1c1
7r/p1Qnk2p/3p4/2P1p2q/4P3/2P2bP1/PP5K/RNB2R2 w - - 1 19,h2g1 h5h1 g1f2 h1g2 f2e1 g2e2
6k1/3R1p1p/2p3p1/1p3p2/1B3P2/2P5/5rrP/3RK3 b - - 3 26,g2h2 d7d8 g8g7 b4f8 g7f6 d1d6
4r1k1/pp3p1p/2p1rbp1/1q6/1P1P2Q1/P1B3P1/3R1P1P/3R2K1 w - - 1 27,g4f3 e6e1 d1e1 e8e1 g1g2 b5f1
r4r2/ppp1qpk1/4p1pR/3bP3/8/3QPPP1/1PB3P1/2K4R b - - 2 20,f8h8 h6g6 f7g6 d3g6 g7f8 h1h8
8/6R1/8/1p3P2/1P1r1kP1/7p/7P/6K1 w - - 1 41,f5f6 f4f3 g7e7 d4d1 e7e1 d1e1
r2qkb2/3p1Rr1/p1b1p1Qp/8/4P3/2p1B1P1/PPP3BP/5RK1 b q - 0 18,g7g6 f7f8 e8e7 e3c5 d7d6 f1f7
r5k1/p3R1pp/Q3pn2/2pp4/8/4q1N1/P1P3PP/1r3B1K b - - 6 25,f6e4 a6e6 g8h8 e7e8 a8e8 e6e8
1k4R1/2p2q1p/bp2p3/pN3p2/2QP3P/4r3/PP6/2K5 b - - 5 31,b8b7 b5d6 c7d6 c4c8 b7a7 c8a8
5QQ1/pkp1R3/3p2p1/2pP2p1/6b1/8/PPP1KPP1/7q w - - 3 31,e2d2 h1d1 d2c3 d1d4 c3b3 d4b4
r5k1/3p2pp/2p1p3/2P1Pn2/2qP1QPP/P7/1B3R2/6K1 b - - 0 34,f5h4 f4f7 g8h8 f7f8 a8f8 f2f8
2k3nr/q4pp1/2pBp3/4P3/6b1/6P1/P1P4P/1RQ1R1K1 w - - 1 26,g1g2 h8h2 g2h2 a7f2 h2h1 g4f3
r3br2/7k/3qp1p1/1p1p1pP1/p1p2PP1/2P1P3/PPB4Q/2KR4 b - - 1 24,h7g8 d1h1 d6e7 h2h8 g8f7 h8h7
r2q1r2/1pp3k1/p3p2p/3pB1p1/3P2P1/4P3/PPP2Q2/2K4R b - - 0 22,g7h7 h1h6 h7h6 f2h2 h6g6 h2h5
3r2k1/5pp1/4b2p/2p1p3/4B3/6P1/1R1Nq2P/2Q4K b - - 5 30,d8d2 b2b8 e6c8 b8c8 d2d8 c8d8
r5k1/p5pp/2p3rq/4p3/1PP5/3P1QPb/P5P1/2R2RK1 b - - 0 25,h3g4 f3f7 g8h8 f7f8 a8f8 f1f8
8/pp3pkp/2p2rp1/6QP/P2q1N2/1P6/1bP3P1/4R2K b - - 2 28,f6f4 h5h6 g7f8 g5e7 f8g8 e7e8
7r/1p2kppp/5n2/pQ6/PbP1p3/5qP1/1PB2P1P/3R1K2 b - - 3 30,e4e3 b5e5 e7f8 d1d8 f6e8 d8e8
5r2/1p5k/p5pp/4p3/1P2bq2/1QP4B/PB3PPP/3R2K1 w - - 5 26,c3c4 f4f2 g1h1 f2f1 d1f1 f8f1
4r1k1/p4ppp/1p6/2p4q/6bP/1PP3Q1/2P1RPP1/5RK1 b - - 0 22,e8e2 g3b8 g4c8 b8c8 e2e8 c8e8
3r2k1/pp2r1p1/5pKb/8/P1RR3P/8/8/8 b - - 5 35,d8d4 c4c8 d4d8 c8d8 e7e8 d8e8
5r2/p1p2rpk/2Qb3p/3p1q2/3Pp1R1/4B2P/PPP2P1P/2K3R1 b - - 6 20,d6h2 g4g7 f7g7 c6h6 h7g8 h6g7
5rk1/p1p2p1r/2qp2p1/6R1/3BP3/2P2P2/PP4QP/7K b - - 7 29,c6a6 g5g6 f7g6 g2g6 h7g7 g6g7
8/8/pp6/5R2/P1p3P1/5Bk1/1r4P1/7K w - - 2 44,a4a5 b2b1 f3d1 b1d1 f5f1 d1f1
2r3k1/5pp1/4p3/pp1pn1BQ/3q4/7R/P4PP1/6K1 b - - 1 27,e5g6 h5h7 g8f8 h7h8 g6h8 h3h8
r7/6p1/6k1/p1R3p1/3n4/P2P4/2P2PP1/5RK1 w - - 1 28,c5c4 d4e2 g1h1 a8h8 c4h4 h8h4
7r/p5p1/8/7p/3R3P/BP3kP1/P4r2/3R1K2 w - - 0 32,f1e1 h8e8 a3e7 e8e7 d4e4 e7e4
2r1r3/5p2/3b1k2/B5p1/Pp1P4/5B1P/1P3PP1/4R1K1 w - - 1 33,e1e8 c8c1 f3d1 c1d1 e8e1 d1e1
4rk1r/pppb1pp1/3p4/3P4/3q1P1p/2N3nP/PP1Q1RP1/R1B3K1 w - - 6 20,d2d4 e8e1 f2f1 e1f1 g1h2 f1h1
8/5rpk/4qn1p/3p4/4pQ1R/2P2p2/PP6/2K4R b - - 9 46,e6e7 h4h6 g7h6 f4h6 h7g8 h6h8
5r1k/p2Q2pp/3p1rp1/8/2PP4/4q3/P5PP/R1R4K w - - 2 23,c1e1 e3e1 a1e1 f6f1 e1f1 f8f1
2r1r3/p4pk1/1p5p/2b5/2q5/3R4/P2Q1P1P/6RK b - - 1 33,g7h7 d2h6 h7h6 d3h3 c4h4 h3h4
rnb1r1k1/pp2qppp/8/3p4/2pP4/2P1nNP1/PPBN1P1P/R2Q1K1R w - - 1 13,f2e3 c8h3 f1e1 e7e3 d1e2 e3e2
rn3r1k/6Rp/4pp2/p2pq3/PnP1P3/5P2/4K2P/4Q1R1 b - - 1 24,d5e4 g7h7 h8h7 e1h4 e5h5 h4h5
4r1k1/p5pp/2n5/1p1p1B2/2p5/P1P2R2/1P2q1PP/5R1K b - - 3 25,e2b2 f5e6 g8h8 f3f8 e8f8 f1f8
8/8/5nk1/1R5p/8/r3N3/6PK/8 w - - 16 46,e3d5 f6g4 h2g1 a3a1 b5b1 a1b1
4r3/pp5Q/2b1rkp1/2B2p1p/1P6/P2q4/5PPP/2R2RK1 w - - 6 32,f1d1 d3d1 c1d1 e6e1 d1e1 e8e1
1k3rr1/pp1Q4/4p2p/3pp3/Pb1q4/1P3BP1/5PKP/2R4R b - - 1 22,f8f3 d7c7 b8a8 c7c8 g8c8 c1c8
r4rk1/6p1/p3pPq1/1p6/4N3/P2p3Q/1P3P2/5K1R b - - 0 27,g6e4 h3h8 g8f7 h8g7 f7e8 g7e7
6k1/8/N4p2/6pR/1B5p/2P2P1P/4r1PK/2b5 w - - 2 36,a6c5 c1f4 h2g1 e2e1 g1f2 f4g3
rn6/p2k1p2/1ppp4/8/6BQ/8/PPPK3P/6qb b - - 5 21,d7c7 h4e7 b8d7 e7d7 c7b8 d7c8
r3r1k1/pp2p2R/3pN1p1/3P1b2/2P5/3Q4/PP3qP1/2KR4 b - - 2 20,f5d3 h7g7 g8h8 d1h1 f2h4 h1h4
r3q1k1/pQ1n3p/4r1p1/8/8/N1P5/PP3RPP/3R2K1 w - - 0 27,d1d7 e6e1 f2f1 e8e3 g1h1 e1f1
7k/5K2/1n4PP/8/8/P7/2p5/8 b - - 1 61,c2c1q g6g7 h8h7 g7g8q h7h6 g8g6
4rk2/1R3pp1/p4q1p/3P4/2P1Q3/7P/P4PP1/6K1 w - - 1 31,e4h7 e8e1 g1h2 f6f4 g2g3 f4f2
8/1pp4k/1p5p/5pp1/6P1/1BPPqPQb/PP5P/6K1 w - - 2 27,g3f2 e3c1 b3d1 c1d1 f2e1 d1e1
5rk1/R6p/1p4pP/2p2pn1/5r2/1P4N1/P7/4R1K1 b - - 0 37,f8f7 e1e8 f7f8 a7g7 g8h8 e8f8
3r2k1/pp3ppp/2r5/8/4b3/P3P1Q1/1q3PPP/3RR1K1 b - - 1 22,d8d1 g3b8 c6c8 b8c8 d1d8 c8d8
r2qk2r/pb3p2/2p2Rp1/8/8/2p2Q2/PPP3PP/2K2B1R w kq - 0 21,f6f7 d8d2 c1b1 d2e1 f3d1 e1d1
5r1k/ppp2Npp/8/2p5/1bQ2P2/2N3P1/PP1K3P/q7 b - - 3 21,h8g8 f7h6 g8h8 c4g8 f8g8 h6f7
8/4P3/p1p5/1p6/1P1P4/P5p1/5k1p/7K w - - 2 63,e7e8q g3g2 h1h2 g2g1q h2h3 g1g3
r7/1R1k4/r2p1pp1/p6p/1pP2P2/1P3KP1/5P2/R7 b - - 3 37,d7e6 a1e1 e6f5 b7b5 d6d5 b5d5
1rbq3r/1p2ppk1/p2p2p1/2pP2P1/P3PPn1/2NB4/1PPQ2P1/R4RK1 w - - 1 19,d3e2 h8h1 g1h1 d8h8 h1g1 h8h2
rqb1kb1r/p2p1ppp/3N4/2ppP3/1p6/8/PPPPQPPP/R1B1K2R b KQkq - 1 13,f8d6 e5d6 e8f8 e2e7 f8g8 e7d8
1k4r1/prp2Q1p/1n6/6B1/5p2/1Pp4P/P4qPK/3R4 b - - 7 35,g8g5 d1d8 b6c8 d8c8 b8c8 f7e8
r1b2r2/3n2pk/p1p1p2p/4P1NQ/2PP4/2q5/P5PP/R4RK1 b - - 1 19,h7g8 f1f8 d7f8 h5f7 g8h8 f7f8
3r1rk1/1R2R1pp/pN6/6p1/6P1/7n/PP3P2/6K1 w - - 0 28,g1g2 f8f2 g2h3 d8d3 e7e3 d3e3
2r3k1/Q4ppp/4p3/3p4/8/2P3q1/Pr1N2P1/R4R1K b - - 1 26,b2d2 a7f7 g8h8 f7f8 c8f8 f1f8
2rr2k1/1Q3Rp1/p3n3/1pq3Pp/7P/2N5/PPP5/1KR5 w - - 1 29,c3e4 c5c2 c1c2 d8d1 c2c1 d1c1
r4rk1/p1p3p1/2pp3p/5q2/6b1/4P1P1/PPP1QP1P/R3RBK1 w - - 7 19,e2d3 f5f2 g1h1 g4f3 f1g2 f2g2
3rn1k1/p1q1bppp/2p5/6P1/4P2P/2P5/1P2NQ2/2K2R2 b - - 2 28,c7a5 f2f7 g8h8 f7f8 e7f8 f1f8
1k1r1r2/ppp5/4B3/4b3/8/P1NP2Q1/1PPq1PPP/R5K1 w - - 0 20,g3e5 d2f2 g1h1 f2f1 a1f1 f8f1
6k1/ppp3pp/8/7P/8/P2n4/RP2Nrq1/1K1Q3R w - - 1 26,e2c3 f2b2 b1a1 b2a2 c3a2 g2b2
2r1rbk1/5pp1/1q5p/ppp1B3/4B3/1P3Q1P/P5P1/2R2R1K b - - 0 25,e8e5 f3f7 g8h8 f7f8 c8f8 f1f8
7r/2Qpkp1p/4p1p1/1bp4P/4P3/3P4/2qNKPP1/4RB1R w - - 4 26,c7e5 c2d3 e2d1 b5a4 d1c1 d3c2
2b1r1k1/6pp/p3q3/2Pp2P1/3P4/P7/2P1BQ1P/5RK1 b - - 0 30,e6e2 f2f7 g8h8 f7f8 e8f8 f1f8
R2n1k2/5ppp/2b1p3/6N1/2qP4/8/1RPQnPPP/6K1 w - - 1 25,g1h1 e2g3 h2g3 c4f1 h1h2 f1g2
8/4Q1pk/4ppqp/8/1B1P4/3b1N1P/5PP1/5K2 w - - 6 36,f1e1 g6e4 e1d1 e4e2 d1c1 e2c2
6k1/4br1p/p5q1/1p3R2/8/1Q6/PB3PPP/6K1 w - - 11 30,f5f7 g6b1 b2c1 b1c1 b3d1 c1d1
1k6/pp4p1/8/2q2P2/8/1Q3Bb1/PP6/6K1 w - - 1 31,g1g2 c5f2 g2h3 f2h2 h3g4 h2h4
6rk/1p3prp/p3pR2/3pn3/3q4/2N4R/PPP1Q1P1/7K b - - 17 26,g7g2 h3h7 h8h7 e2h5 h7g7 h5h6
r4rk1/pR4pN/8/2p5/4R3/3Pn3/q4PPP/3Q2K1 w - - 1 19,e4e3 a2f2 g1h1 f2f1 d1f1 f8f1
3r1r2/Q5pk/p7/N1p4p/5q2/6N1/PP3PPP/5RK1 w - - 0 31,g3h5 f4f2 f1f2 d8d1 f2f1 d1f1
8/1Q3rkp/p5p1/2p5/P1Pp4/1P1P4/3q1PPP/4R1K1 w - - 1 27,b7e4 d2f2 g1h1 f2f1 e1f1 f7f1
6k1/pp6/7p/3pR2r/3P2q1/3Q1pP1/PP3P2/6K1 w - - 4 36,d3b5 h5h1 g1h1 g4h3 h1g1 h3g2
r5k1/1b3p1p/r3p1pP/2p5/1p3R2/1P1P2Q1/B1P2PP1/qK1R4 w - - 4 26,b1a1 a6a2 a1b1 a2a1 b1b2 a8a2
r4k2/pR2p1r1/3p1pBp/2p1nP2/5P2/2q3P1/P3Q3/1R4K1 b - - 0 27,e5g6 b7b8 a8b8 b1b8 f8f7 e2e6
r2q2k1/ppp2ppp/1b1p4/4r3/2Q5/2N5/PPP3PP/3K1R1R b - - 1 16,d8g5 c4f7 g8h8 f7f8 a8f8 f1f8
r1b1k2r/1p1p1ppp/p2P1n2/8/2p5/4Q3/PqP1PPPP/4KB1R b Kkq - 1 18,e8f8 e3e7 f8g8 e7d8 f6e8 d8e8
3b1r1k/5Bp1/3p1pPp/p1rN4/1pP1PpnR/1P6/P3K3/7R b - - 1 41,g4e5 h4h6 g7h6 h1h6 h8g7 h6h7
7r/1p2kp2/p7/3pBPp1/1P2p1P1/P3q3/4n1BK/3QR3 w - - 5 32,e5h8 e3g3 h2h1 g3h4 g2h3 h4h3
r6r/1p6/p3pp2/NkPp4/1P1P4/4P1K1/3n1PP1/1RR5 w - - 13 39,b1b2 a8g8 g3f4 h8h4 g2g4 h4g4
8/6R1/6pk/8/3B3P/5bP1/2r2P2/3R2K1 w - - 1 38,d1d3 c2c1 d3d1 c1d1 g1h2 d1h1
4r1k1/6pp/p1p1qp2/8/2P5/2QR4/PBP2PPP/6K1 w - - 0 29,g1f1 e6e2 f1g1 e2e1 c3e1 e8e1
5rk1/5ppp/3p4/3Qp3/8/8/rq4PP/1R3R1K b - - 3 24,b2d2 d5f7 f8f7 b1b8 f7f8 f1f8
5rk1/2R4p/1p3NpP/p3n3/8/6P1/4rPK1/2R5 b - - 0 30,f8f6 c7g7 g8h8 c1c8 f6f8 c8f8
r5k1/4p2p/3p2pQ/p1pPn1P1/1p2Pq2/7R/PPP5/1N2K3 b - - 0 28,f4g4 h6h7 g8f8 h7h8 f8f7 h3h7
5r1k/p5pp/1q6/3Q2p1/8/2N5/P4PPP/1r3RK1 w - - 0 20,f1b1 b6f2 g1h1 f2f1 b1f1 f8f1
r5k1/ppQ2ppp/2b2q2/8/5R2/1B5P/P4PPK/8 b - - 0 27,f6g5 c7f7 g8h8 f7f8 a8f8 f4f8
3r2k1/4Rr1p/1p4pQ/p1n2p2/2q5/2PpR1P1/P4P1P/4N1K1 b - - 3 28,d3d2 e7e8 d8e8 e3e8 f7f8 h6f8
8/3R3p/p1r3pk/5p2/P3rPP1/P1p5/5K1P/2B5 b - - 0 31,c6e6 g4g5 h6h5 d7h7 h5g4 h2h3
6k1/b4ppp/p1p5/3P4/N3r3/P6P/1P3qPB/R2Q3K w - - 0 24,d1b3 e4e1 a1e1 f2e1 h2g1 e1g1
4r1k1/pp1n1p1R/6p1/q1p2b2/2P2P2/8/P2rBKP1/Q3R3 b - - 0 21,g8h7 e1h1 f5h3 h1h3 h7g8 h3h8
8/5P1Q/p7/Pp1p4/1P1P1k1n/7B/5p1K/5n2 w - - 1 65,h2h1 f1g3 h1h2 h4f3 h2g2 f2f1q
r5k1/1p2rpb1/1Pp3p1/p1Pp1q2/4p1p1/4P3/P2BQPN1/R2B2RK w - - 0 30,a1c1 f5h5 g2h4 h5h4 h1g2 h4h3
rn3rk1/p1p2Bpp/2b2n2/6N1/3q1b2/1QN5/PPP3PP/R3K2R b KQ - 0 15,f8f7 b3f7 g8h8 f7f8 f6g8 g5f7
r4rk1/pp4p1/5q1p/8/3PpQ2/1P4R1/1P4PP/3R2K1 w - - 0 23,f4e4 f6f2 g1h1 f2f1 d1f1 f8f1
4r1k1/5ppp/p4r2/1p6/3P4/2P1RQPq/PP5P/4R1K1 b - - 0 28,e8e3 f3a8 h3c8 a8c8 e3e8 c8e8
5rk1/3R1ppB/3Np3/3p4/1P6/2r1q3/6PP/1Q5K b - - 0 27,g8h8 d6f7 f8f7 d7d8 f7f8 d8f8
4rbk1/pp1b2p1/4p1p1/3q2N1/1P1p3P/8/5QP1/5RK1 b - - 2 27,d7c6 f2f7 g8h8 f7f8 e8f8 f1f8
r1bq2k1/ppp3pp/2np4/8/3PP1n1/5Q2/PPP3PP/RN3RK1 b - - 3 13,c6d4 f3f7 g8h8 f7f8 d8f8 f1f8
2kb2Q1/p2r4/p7/2P5/5Bp1/P1N3P1/1PP3qr/2K3R1 w - - 1 34,g1g2 h2h1 g2g1 h1g1 c3d1 g1d1
8/6pk/2n4p/6PP/2r2P2/R5K1/8/8 b - - 0 44,c6d4 g5g6 h7h8 a3a8 c4c8 a8c8
6k1/pp3R1P/2p1r1p1/q1Pp1p2/3P1P2/2PQ4/3K4/8 b - - 0 34,g8h8 f7f8 h8h7 d3h3 h7g7 h3h8
8/4Bp2/r3p1k1/1r1p2P1/3P1K2/1P6/p7/7R b - - 1 43,a2a1q h1h6 g6g7 e7f6 g7g8 h6h8
2r2rk1/5ppp/p7/1p1QPR2/8/P3q3/2P3PP/3R3K b - - 2 23,c8c2 d5f7 f8f7 d1d8 f7f8 f5f8
4r1k1/2Q2ppp/8/p7/b3q1PP/1pP5/1P1r4/K4R1R b - - 1 31,d2b2 c7f7 g8h8 f7f8 e8f8 f1f8
r1b3Q1/ppqk3P/2n3p1/5p2/3r1P2/8/PPP3P1/2KR1B1R w - - 0 25,h7h8q c7f4 d1d2 f4d2 c1b1 d2d1
r1b4k/pp3rpp/2n2pq1/3Qp3/7N/8/6PP/2BR1R1K b - - 3 26,g6h5 d5d8 c6d8 d1d8 f7f8 d8f8
r2q1rk1/p1pn2p1/1p2Q2B/6bP/3p4/P2B4/1P3P2/R3K2R b KQ - 0 19,g8h8 h6g7 h8g7 e6g6 g7h8 g6h7
6k1/7p/4K2p/p4p2/1p3P2/6P1/r6P/3R4 b - - 0 30,a2h2 e6f6 h2e2 d1d8 e2e8 d8e8
r4r1k/6pp/b4b2/2BQ4/8/8/2q3PP/3RR2K b - - 0 26,f8d8 d5d8 a8d8 d1d8 f6d8 e1e8
5k2/R2R1pp1/p4r1p/n4p2/5P2/2r4P/4K1P1/8 b - - 1 43,a5c6 a7a8 c6b8 a8b8 c3c8 b8c8
R1q1k2r/4npp1/2p4p/4p3/5r2/3Q4/2N2PPP/3R2K1 b k - 5 25,c8a8 d3d7 e8f8 d7d8 a8d8 d1d8
1r5k/1p3Rp1/4Q2p/p3P3/3q4/P7/3B2PP/6K1 w - - 0 30,g1h1 d4a1 d2c1 a1c1 f7f1 c1f1
3r4/kpN2p2/p7/4Q3/1q3p1P/1B3P2/PPP2P2/2K4R w - - 2 27,h1e1 b4d2 c1b1 d2d1 e1d1 d8d1
4r3/5pkp/1p3bp1/pNr5/8/5B2/R4PPP/4R1K1 w - - 0 27,e1e8 c5c1 f3d1 c1d1 e8e1 d1e1
3r1r1k/ppQ3pp/5p2/2R5/8/4P3/PPP1qPPP/2K4R w - - 3 20,c7b7 e2d2 c1b1 d2d1 h1d1 d8d1
2r3k1/R1R3pr/1p2Pn2/1p5p/1P3P2/6P1/7P/6K1 b - - 2 34,c8c7 a7a8 c7c8 a8c8 f6e8 c8e8
6R1/8/8/8/8/5kP1/1r6/7K w - - 5 80,g3g4 f3g3 g8d8 b2b1 d8d1 b1d1
5rk1/4Qppp/p1q5/1p6/2p5/P6P/1P4P1/5R1K b - - 2 30,f8e8 e7f7 g8h8 f7f8 e8f8 f1f8
1k1r4/pp3Qpp/1r6/8/3qp3/2R2B2/1P3PPP/5RK1 b - - 0 26,e4f3 f7c7 b8a8 c7c8 d8c8 c3c8
2r2rk1/2q1bpp1/p2p3p/1p1Pp2P/4N1P1/3Q1n2/PPP5/1K1R1B1R w - - 0 20,d3f3 c7c2 b1a1 c2c1 d1c1 c8c1
3r4/2pp2RR/1pk1P3/p7/2PPK3/r7/8/8 b - - 0 34,d7e6 g7c7 c6d6 c4c5 b6c5 d4c5
r4rk1/pp5p/2p1pqp1/4R3/3PQ3/2P5/P4PPP/4R1K1 w - - 0 22,e5e6 f6f2 g1h1 f2f1 e1f1 f8f1
r3rbk1/6p1/2N2p2/2np4/1P5p/3R3P/5PPB/4R1K1 w - - 0 28,e1e8 a8a1 d3d1 a1d1 e8e1 d1e1
5R2/8/3pr3/3k4/8/pP4r1/P1P5/1K2R3 w - - 2 40,e1e6 g3g1 f8f1 g1f1 e6e1 f1e1
r4r2/p4pkp/1p4n1/2p2R1Q/3pP3/P3q3/BPP3P1/5R1K b - - 3 24,e3e4 f5f7 f8f7 f1f7 g7h8 h5h7
3rr1k1/pp3ppp/8/2P5/1P1bp1q1/P3Q3/R4PPP/3R2K1 w - - 0 21,d1d4 g4d1 d4d1 d8d1 e3e1 d1e1
3r1rk1/pp3Rpp/8/2p5/8/2Pq2P1/PP3Q1P/5RK1 b - - 0 32,f8f7 f2f7 g8h8 f7f8 d8f8 f1f8
k2r3r/Bp3R2/pNppn2p/4p3/2P1P1q1/3P2P1/PP3Q1K/7R b - - 9 29,a8a7 b6c8 a7b8 f2a7 b8c8 a7b7
5rk1/6pp/4R3/3p1R2/2pq4/6P1/2Q2PKP/r7 b - - 3 29,d4d1 f5f8 g8f8 c2f5 f8g8 e6e8
rnq1r3/pp3ppk/2p5/8/3P3P/1Q5b/PP3P1P/R1B1R1K1 w - - 0 17,e1e8 c8g4 b3g3 g4d1 e8e1 d1e1
5qk1/pp1n1ppp/1b6/3prN2/7Q/3B1P1P/PPP2P2/5RK1 b - - 10 23,b6d8 f5e7 f8e7 h4h7 g8f8 h7h8
rn2r1k1/ppp2p1p/6pB/4Q3/1P6/3R4/1PK2PPP/7q b - - 1 18,h1b1 c2b1 e8e5 d3d8 e5e8 d8e8
2RN4/6pk/7p/8/7K/6P1/3r1n1P/8 w - - 8 46,d8f7 d2d4 g3g4 d4g4 h4h5 g7g6
4r2k/p3r3/2p2R1P/1p5P/8/3Pq3/PP4Q1/1K4R1 w - - 1 34,f6g6 e3d3 g2c2 e7e1 g1e1 e8e1
8/1p1R1R2/1P4k1/8/4r3/6Pp/2r4P/6K1 w - - 1 47,f7f2 e4e1 f2f1 c2g2 g1h1 e1f1
2r2rk1/p2N1pp1/2p1p3/3p2Rp/1B1n3P/P7/2b2PP1/5RK1 b - - 3 22,f8d8 d7f6 g8h8 g5h5 c2h7 h5h7
8/R4p1p/5kp1/8/3N1KP1/4P2P/p1b2P2/r7 b - - 7 41,c2d1 g4g5 f6g7 d4e6 g7h8 a7a8
R1b2r1k/7p/2p1nqp1/8/2QN4/8/2P2PPP/4R1K1 w - - 2 26,d4e6 f6f2 g1h1 f2e1 c4f1 f8f1
3r2k1/pp4pp/8/2P5/1P1qpQ2/P3p3/6PP/5R1K b - - 5 30,e3e2 f4f7 g8h8 f7f8 d8f8 f1f8
2k5/pp6/2nQ2p1/2Nppqp1/3P4/2P1nP1r/PP3R1p/4R2K w - - 0 33,e1e3 f5b1 e3e1 b1e1 f2f1 e1f1
6k1/ppb2r1p/2p2p1B/4R3/8/5QPK/PPq4P/8 b - - 0 27,c7e5 f3g4 c2g6 g4c8 f7f8 c8f8
8/pR3pkp/4p1p1/3n4/4N3/r4N2/5PKP/8 w - - 4 43,f3e5 d5f4 g2f1 a3a1 b7b1 a1b1
1r4k1/5ppp/4p3/3n4/1q1P4/5Q2/1P4PP/5RK1 b - - 1 29,b4b2 f3f7 g8h8 f7f8 b8f8 f1f8
4r1k1/p4p1p/1p4pB/2nN4/2P2P2/6PP/Pb1R2K1/8 b - - 3 24,b2h8 d5e7 e8e7 d2d8 e7e8 d8e8
3r4/1qb5/2p1Q3/p3p3/5p2/2k2P2/7R/2K5 b - - 1 46,d8d3 h2c2 c3d4 e6c4 d4e3 c4e4
r1b1Rbk1/p4ppp/1pp5/3q4/2B2B2/1N6/PPP2PPP/4R1K1 b - - 1 20,d5c4 e8f8 g8f8 f4d6 f8g8 e1e8
2k5/pp3p1p/2p2np1/8/PPq3P1/7P/4rPQ1/2RR2K1 b - - 7 28,c4b4 c1c6 b7c6 g2c6 c8b8 d1d8
2r1k1n1/4pr2/2qp2p1/p2NP1Pp/3Q3P/8/PP6/1K2RR2 w - - 1 28,f1f7 c6c2 b1a1 c2c1 e1c1 c8c1
2r2k2/6R1/3p2p1/1p1Pp2N/1n1qP3/3B4/3Q2PP/7K w - - 4 33,d2h6 d4a1 d3b1 a1b1 h6c1 c8c1
2r3k1/1p4pp/pq2pb2/3p2P1/8/N3PQ1P/PP6/5RK1 b - - 0 22,f6b2 f3f7 g8h8 f7f8 c8f8 f1f8
1R5r/p4pb1/1p1r3p/kPp3p1/P7/2P5/5P1P/R3B1K1 b - - 4 25,h8b8 c3c4 d6d2 e1d2 g7c3 d2c3
1r5k/7p/5Qpb/4p3/4P3/P1q4P/5PP1/3R2K1 b - - 5 32,h6g7 d1d8 b8d8 f6d8 g7f8 d8f8
1k4r1/pp3prp/3qpQ2/1b1p4/1P1P4/P6P/3N1PP1/R1R2BK1 w - - 3 22,g2g3 g7g3 f2g3 d6g3 f1g2 g3g2
