FEN,Movimientos
1rr3k1/pbq2pp1/4R2p/6NQ/1nBp4/5P2/PPP3PP/2KR4 b - - 0 20,c7c4 h5f7 g8h8 e6h6 g7h6 f7h7
1r3rk1/pn2qpp1/1b5p/3R4/1P6/2PQ4/P2P1PPP/RNB3K1 w - - 1 21,b1a3 e7e1 d3f1 b6f2 g1h1 e1f1
1r4k1/2q3pp/4p3/1Ppp4/8/5Q2/6PP/5RK1 b - - 0 27,c7b6 f3f7 g8h8 f7f8 b8f8 f1f8
5rk1/ppp2ppp/1b6/8/4p3/1QP1q2P/PP2r1P1/3R1R1K b - - 5 24,e3g3 b3f7 f8f7 d1d8 f7f8 f1f8
5r1k/q5p1/p3Q2p/7N/8/1Pb5/P4PPP/5RK1 w - - 0 31,f1d1 a7f2 g1h1 f2f1 d1f1 f8f1
2R1rk2/pp1Q1pp1/4p2p/3pP3/3P1PPb/1P4KP/P4B2/4q3 w - - 12 29,g3h4 e1f2 h4h5 g7g6 h5h6 f2h4
r5k1/pQp3pr/4b1qp/1N2n2n/8/4P2P/PPP3P1/2KR1R2 b - - 0 19,a8c8 b7c8 e6c8 d1d8 g6e8 d8e8
r4k2/1pp1Qp2/p4Brp/8/Pn3P2/7q/2P3P1/R2R2K1 b - - 2 24,f8g8 d1d8 a8d8 e7d8 g8h7 d8h8
7k/p3R3/3R1N1p/1b6/8/P5K1/5P2/6q1 w - - 6 50,g3h4 g1g5 h4h3 b5f1 h3h2 g5g2
2rr4/1p4kp/1P4p1/2q2p2/8/8/Q2p1PPP/R2R2K1 w - - 2 42,d1d2 c5c1 a1c1 c8c1 d2d1 c1d1
5rk1/1p3ppp/p1p2q2/1r1bN3/8/Q6P/PP2RPP1/2R3K1 b - - 4 22,f6g5 a3f8 g8f8 e5d7 f8g8 e2e8
8/2R3pk/p3r3/1p4PK/2p5/5P2/P7/8 b - - 2 44,e6e3 g5g6 h7h8 c7c8 e3e8 c8e8
r1b1r1k1/2p2p2/7B/pp1N4/8/1P4nP/P5P1/3R2K1 b - - 2 30,e8e2 d5f6 g8h8 d1d8 e2e8 d8e8
5rk1/5pp1/4p1p1/8/pQ1R4/1b5P/2q2PP1/3R2K1 b - - 3 34,f8c8 d4d8 c8d8 d1d8 g8h7 b4h4
1r4k1/2q3p1/p3R2p/b2p4/1rpP3N/6P1/1PQ1RPP1/6K1 b - - 0 31,b4b2 e6e8 b8e8 e2e8 g8f7 c2g6
5rn1/4rQkp/6p1/2qBP1N1/p5PP/8/P1p2R2/5R1K b - - 0 35,e7f7 f2f7 f8f7 f1f7 g7h8 f7h7
