FEN,Movimientos
r1bqr1k1/ppp2p1p/2n4Q/6N1/6P1/2b4P/P3BP2/R4K1R b - - 1 16,c3a1 h6h7 g8f8 h7f7
rn1qkbnr/1pp3pp/3p1p2/p3N3/2B1PPb1/2N5/PPPP2PP/R1BQK2R b KQkq - 0 6,g4d1 c4f7 e8e7 c3d5
r1b3k1/ppp1br2/2n2p1B/4p2Q/7P/2Pq4/PP3PP1/RN4KR b - - 1 16,f7h7 h5e8 e7f8 e8f8
r5k1/p1p3pp/2pb4/8/4p3/2N1QbqP/PPP2RN1/R5K1 w - - 2 23,c3e4 g3h2 g1f1 h2h1
6k1/1p5p/3p2p1/3P1Bq1/1PPb4/2r1r1Nb/5QPP/3R1R1K b - - 0 27,e3g3 f5e6 h3e6 f2f8
6rk/p5rb/5pBQ/5P2/8/P2P2R1/1P2pqPP/4R2K w - - 3 31,h6d2 f2f1 e1f1 e2f1q
1r1k3r/p1p1bQpp/1p1p4/1BnP2q1/8/8/PPP2PPP/1K1RR3 b - - 2 19,h8f8 f7f8 e7f8 e1e8
4r2k/pp2Pr2/2p5/2P5/1P4K1/P7/8/3RR3 w - - 1 39,d1d7 e8g8 g4h5 f7h7
2r3r1/p1BR1Qpk/7p/2b1NP2/8/7K/6PP/4q3 b - - 2 33,c8c7 f7g6 h7h8 e5f7
3qrrk1/ppp2pp1/2np1n1p/3NP3/5P2/P2Q4/1PB3PP/R4RK1 b - - 0 18,d6e5 d5f6 g7f6 d3h7
3kr3/2p4p/2P2p2/4Npq1/1P2Pb2/3Q3b/4R1PP/6K1 b - - 1 37,d8e7 d3d7 e7f8 d7f7
r3k1Q1/pb3p2/1pnRp3/7r/2q4p/2N2N2/PP3PPP/2KR4 b q - 4 21,e8e7 d6d7 e7f6 d7f7
r2q1k1r/2p3p1/p2b3p/P2p1bBQ/B2P4/2P5/5PPP/R3R1K1 b - - 0 22,d8g5 e1e8 a8e8 h5e8
6k1/5ppp/4p3/8/1P1q4/P3rP1b/Q3B2P/5R1K w - - 4 28,f1d1 d4d1 e2d1 e3e1
1R6/3N2pk/5p2/1p1p1b1p/4n2K/4P2P/1B6/8 w - - 1 34,d7e5 g7g5 h4h5 e4g3
2Q3r1/p1p2kr1/2N1p2p/3qNn2/1b1P4/8/P4RPP/5RK1 b - - 9 30,f7f6 f2f5 e6f5 c8f5
8/8/3N4/1pp5/8/PkP1R3/1P4r1/1K6 w - - 3 40,d6b5 g2g1 e3e1 g1e1
6k1/p2p3p/1pb1p1p1/2q5/4P3/P1NP2Q1/1r4PP/5R1K b - - 1 26,c5c3 g3b8 g8g7 b8f8
r5rk/B4p1p/5PnQ/3qpR2/3P2P1/2p4P/P3R3/6K1 b - - 3 33,a8a7 h6h7 h8h7 f5h5
8/5R1p/1p4p1/1P2bkB1/5p1P/8/3p1PPK/2r5 b - - 1 37,f5g4 f2f3 g4h5 f7h7
r4r1k/p1p4p/8/4N3/1PQ1Pn2/2R2n1b/5q1P/1R2N2K w - - 0 30,c3f3 h3g2 e1g2 f2g2
6k1/6p1/p3p1Np/2p4P/3pq3/P5Q1/7K/8 b - - 1 41,d4d3 g3b8 g8f7 b8f8
2r3k1/p2Q1pp1/1q5p/1p6/4n2B/PB6/2P2bPP/R3N1K1 w - - 0 25,h4f2 b6f2 g1h1 f2f1
