FEN,Movimientos
5rk1/ppR2r2/3pB1pp/1P1Pb1q1/P3p3/1Q3pP1/5P1P/2R3K1 w - - 3 31,c7f7 g5c1 b3d1 c1d1
4r1k1/1p3p2/p1pqr1p1/3p2n1/5B2/3R1Q2/PPP2PPP/3R2K1 w - - 4 26,f4d6 e6e1 d1e1 e8e1
r4kr1/pRQ2p1p/3p2p1/1B5n/4PP1q/3PKP2/4N3/8 b - - 1 24,f8g7 c7f7 g7h8 f7h7
1r1q1r2/3b2k1/4p2R/3pPpN1/2pP1P2/1pP5/1P6/R1B1Q2K b - - 0 30,g7h6 e1h4 h6g7 h4h7
3R4/pp2p1kp/n3Pbp1/8/2p2q2/2N5/PPP1Q1PP/7K w - - 4 26,c3d5 f4c1 e2d1 c1d1
8/3R4/6p1/5p2/7k/3pK3/2rr1P2/5R2 b - - 1 41,g6g5 d7h7 h4g4 f1g1
1r4k1/p3rppp/6q1/Q2p4/P1pNnP2/2P1P1P1/7P/1R3RK1 b - - 6 29,b8b1 a5d8 e7e8 d8e8
8/1p1R2pk/7p/p6P/4N3/1r6/8/6K1 b - - 0 41,a5a4 e4f6 h7h8 d7d8
7k/7p/R6P/4p3/1p1rP3/1Pp1bB2/P1Kp4/3R2r1 b - - 2 45,g1d1 a6a8 d4d8 a8d8
r2qr1k1/pppn1p2/3p1n1B/8/2B1p1P1/2P1Q2P/PPP2P2/2K4R b - - 1 17,d6d5 e3g5 g8h7 g5g7
4rk1r/5p2/p3B3/1pnPq1Qp/2p5/2P1p1R1/PP4PP/5RK1 b - - 1 32,e5g5 f1f7 f8g8 g3g5
4r1k1/1p3pP1/pp2bBnQ/3rn2P/P3p3/2P5/1P4P1/5RK1 b - - 0 27,e5g4 h6h8 g6h8 g7h8q
3brrk1/p3q2p/b1p1p1N1/2P1Pp1Q/3Pp3/4P1PR/P6P/R1B3K1 b - - 0 23,h7g6 h5h8 g8f7 h8h7
r5k1/4Bp1p/4b3/p2p1p2/2p5/4R2P/2P3P1/6K1 b - - 1 30,d5d4 e3g3 g8h8 e7f6
2r3k1/p2R2p1/5p1p/1p2pP1Q/1q1nP3/7P/P5PK/8 b - - 7 33,a7a5 h5f7 g8h8 f7g7
2r3k1/5p2/4bP1R/1pqp4/7N/2PQp3/6PP/7K b - - 2 32,c5c3 d3h7 g8f8 h7h8
r7/ppp4k/6p1/8/5rq1/3Q4/PPP2P2/R4R1K w - - 0 20,f1g1 g4h4 d3h3 h4h3
r4R1k/1p5p/p3b1pQ/4p3/P7/3q3P/1P4PK/8 b - - 1 25,a8f8 h6f8 e6g8 f8f6
2kr1br1/1pp5/P2p1p1p/1p1N1P2/3pP3/3P2q1/2PNQn1p/R4R1K w - - 1 26,f1f2 g3g1 a1g1 h2g1q
r3r1k1/pp2qp1p/5np1/2n5/2Q3b1/P3BP2/BPP1N1PP/R3K2R b KQ - 0 18,e7e3 c4f7 g8h8 f7f6
1R6/2Q3pp/4p1k1/3p1p1q/p2PnPn1/3BP1P1/P5K1/4B3 w - - 7 41,d3e4 h5h2 g2f1 g4e3
r4k2/2R2P2/p7/5p2/2B5/2qp1Q2/P4PP1/R3K3 w Q - 0 30,e1f1 c3a1 f3d1 a1d1
3qr1k1/1p3pp1/p6p/3p1Q1N/4n3/P2KPRP1/1r4PP/8 b - - 1 23,d8c8 f5f7 g8h8 f7g7
3r1r2/pp2b2k/3q3p/2pR3Q/8/P5R1/1P4PP/6K1 b - - 0 27,d6d5 h5g6 h7h8 g6h6
4rrkR/1p2pp2/p2p2p1/3P1NQ1/1qP5/1P5P/P4PP1/6K1 b - - 2 31,g8h8 g5h6 h8g8 h6g7
5R2/pp4pp/6k1/7n/3p1P1P/5K2/r4N2/8 b - - 1 44,b7b5 f4f5 g6h6 f2g4
2rq1r2/bp3k2/5N1p/p3P3/8/P5Q1/BPbp2PP/R6K b - - 1 29,f7e7 g3g7 f8f7 g7f7
1r4r1/p3R3/2p1pPk1/Q5p1/2p5/P7/5qPP/4R2K b - - 4 37,g8h8 e7g7 g6h6 a5g5
r1bq1r1k/4b2p/p3p1R1/3pPp1N/2pP4/2P1P2Q/3B2PP/1R4K1 b - - 0 25,h7g6 h5f6 h8g7 h3h7
3r2k1/5p1p/5Qp1/3r4/ppqP4/4R2P/5PP1/4R1K1 b - - 1 34,c4d4 e3e8 d8e8 e1e8
1k1r3r/ppp2R2/8/3Pp1p1/4P1q1/2Q5/PPP5/2KR4 b - - 0 21,g4e4 c3c7 b8a8 c7b7
rnb2r1k/ppp2Bpp/8/2Q5/8/1PP5/P5PP/1qB2RK1 b - - 1 18,f8f7 c5f8 f7f8 f1f8
1kr5/pp2Q3/3p4/1np5/2N1P3/1Pq5/P1PR3P/1K1R4 w - - 7 23,c4d6 b5a3 b1c1 c3a1
8/pp2RkpR/4rp2/8/2Q5/8/PPP3q1/1K6 b - - 0 30,f7e7 c4c7 e7f8 h7h8
3r2k1/1p3pp1/p1p4p/3rq3/PP5Q/2R1P2P/5PP1/2R3K1 w - - 3 26,c3c5 d5d1 c1d1 d8d1
1r5R/2r1kp2/8/4PB2/3q1P2/6P1/PP2Q3/1K6 w - - 6 38,h8b8 d4g1 e2d1 g1d1
3Rr1k1/6p1/5pNp/p1p1bP2/6q1/8/6PP/3R3K b - - 3 41,e8d8 d1d8 g8f7 d8f8
4Nk2/1p4P1/2p5/5K2/1rP5/p7/8/8 b - - 0 56,f8g8 f5g6 a3a2 e8f6
2rR2k1/pr5p/2q1bQpB/P4p2/2p1pP2/8/5PPP/2R3K1 b - - 9 32,c8d8 f6d8 c6e8 d8e8
3r4/2qP1kp1/2p1p2p/2p5/1pP1Q3/5P2/4RKP1/8 b - - 3 33,d8d7 e4e6 f7f8 e6e8
r2q1r1k/6b1/p3B1Q1/3P1p1p/4n2P/8/1PP2RP1/5RK1 b - - 0 28,e4f2 g6h5 g7h6 h5h6
R7/6k1/P7/8/6pp/7P/r5PK/8 w - - 0 55,a6a7 g4g3 h2g1 a2a1
4RQ2/5ppk/6p1/8/q7/7P/5PP1/3r2K1 w - - 4 49,g1h2 a4f4 g2g3 f4f2
4r1k1/4q1bp/p2pN1p1/1ppn1p2/8/P1P4P/1PQ2PPB/1R4K1 w - - 0 25,e6g7 e7e1 b1e1 e8e1
2rqk3/ppb3Q1/2n1p1p1/3pp1N1/1P1P1rPP/P1N5/1B3P2/R4RK1 w - - 1 23,g5e6 f4g4 g1h1 d8h4
3r4/2p3k1/1p3p1P/p4qp1/3P4/1Q3N2/KPn1r3/6RR b - - 0 34,g7h7 b3f7 h7h8 f7g7
4R2k/pbQ2rpp/1p4n1/3p1q2/3B4/1BP5/PP4PP/6K1 b - - 6 30,g6f8 e8f8 f7f8 c7g7
r2q2k1/pp2p2p/2n3p1/3p2N1/6b1/8/PPP1B1PP/R4QK1 b - - 0 17,g4e2 f1f7 g8h8 f7h7
3rr1k1/1pQ2p1p/p5p1/5b2/2B5/4q2P/P5P1/5R1K b - - 1 24,f5h3 c7f7 g8h8 f7f6
r3k1nr/p5p1/1pp1B2p/4PnB1/8/3Q1P1q/P4P1P/6RK b kq - 0 25,h6g5 d3d7 e8f8 d7f7
5rk1/p2n2pp/2pNb3/3pP3/3P1Q2/1P1q2P1/P5BP/5R1K w - - 3 32,f4h4 f8f1 g2f1 d3f1
r7/1b1qpQbk/p2p4/3N4/2pP3p/4p2P/BPP3P1/1R5K w - - 1 31,d5e7 d7h3 h1g1 h3g2
1r6/4Qk1p/6p1/3Np3/3qP3/7P/6PK/1r6 b - - 1 38,f7g8 d5f6 g8h8 e7h7
3r2k1/pp3npb/2p3qp/8/P6P/2P3P1/2P1QPB1/4R1K1 b - - 2 27,g6c2 e2e8 d8e8 e1e8
8/2Q5/p7/1p3p2/5k1P/8/Pq3PK1/8 b - - 2 43,f4g4 c7g3 g4h5 g3g5
r4r2/p3ppkp/2ppb1p1/q7/4n3/2N5/PPPQBPPP/1K1R3R w - - 0 14,c3e4 a5a2 b1c1 a2a1
8/p4q2/1p4k1/1Pp3p1/2Pp2Q1/P2P2p1/8/2B2K2 w - - 0 48,f1g2 f7f2 g2h3 f2h2
r4q1k/pp4pp/8/2pQP3/3Pp2b/2P5/PP4PP/R1B3K1 w - - 1 18,d5e4 f8f2 g1h1 f2f1
2r1k3/1b1p1pp1/pp2p3/2q5/2PQP3/1PN2Pp1/P3B1P1/3R1RKr w - - 2 20,g1h1 c5h5 h1g1 h5h2
6k1/p1p3pp/1q6/8/2P1Pp2/P6P/1rQ2PP1/3R2K1 w - - 3 30,c2d3 b6f2 g1h2 f2g2
4k3/8/4BKp1/7p/pp1R1P2/5r2/Pr5P/8 b - - 3 40,b2f2 e6f7 e8f8 d4d8
5r2/5p1k/2Q3Bp/1pp5/p2q4/6RP/PP3PP1/6K1 b - - 0 31,f7g6 c6g6 h7h8 g6h6
8/p4B2/1p3p1p/2p1r1k1/8/4RKP1/PPPr1P1P/8 b - - 0 32,d2c2 h2h4 g5f5 g3g4
6k1/2R3p1/3Np1p1/4P3/3P4/4N1PK/5P1P/2rnn3 w - - 9 37,c7c1 d1f2 h3h4 e1f3
5rk1/3R1pp1/Q3pqp1/8/1p6/1P2P2P/P1r2PP1/3R2K1 w - - 2 28,d7d4 f6f2 g1h2 f2g2
Q3kb1r/p1pb1ppp/4pn2/8/8/1P3P2/P4PPP/qNB1KB1R b Kk - 0 14,e8e7 c1a3 c7c5 a3c5
3RQ3/6pk/1r5p/4b2P/8/B3PP2/1Pq2K2/8 w - - 5 37,f2e1 e5g3 e1f1 c2f2
r3r1k1/1p2qp1p/2p3p1/p1P5/2BP1Q2/P5P1/5PP1/3R1K2 b - - 6 34,e7e4 f4f7 g8h8 f7f6
2r2rk1/1p1R1pp1/p3p2p/4P3/5Q1P/8/1q3PP1/5RK1 b - - 0 27,f8d8 f4f7 g8h8 f7g7
k2q4/p2B1pp1/Pp2p1p1/8/2QP1Pn1/4PKP1/3N1r2/2R5 w - - 2 32,f3g4 f7f5 g4h3 d8h8
r4rk1/ppp2pp1/8/3PP1Pp/1qn1Q2P/5N2/PPP5/2KR3R w - - 1 22,b2b3 b4a3 c1b1 a3b2
4r1k1/ppp2p2/5pnQ/7N/3p2qP/3P4/PP3PP1/R3r1K1 w - - 3 24,a1e1 e8e1 g1h2 g4h4
7r/rp5p/p1n1b3/3pkppN/2N1p3/2P2PP1/PP5P/2KR3R b - - 1 21,d5c4 f3f4 g5f4 g3f4
3k1r1b/1Bp5/P2pQ2p/4p1p1/8/2q1P3/2P3PP/4R1K1 w - - 0 36,e1e2 c3a1 e2e1 a1e1
8/6k1/R2P3p/4b1p1/8/p2r2PP/6PK/1N6 w - - 3 44,b1a3 e5g3 h2g1 d3d1
rnb1r1k1/p3ppbp/2p3p1/q3P1B1/2B5/1Pp2N2/P1PQ1PPP/2KR3R w - - 0 15,d2e3 a5a3 c1b1 a3b2
1R5k/2p3p1/p6p/2P2p2/8/P2r3P/3qr1P1/5Q1K b - - 3 29,h8h7 f1f5 g7g6 f5f7
3k3r/p4R2/B1b5/8/3p1Bp1/PN1P2P1/1P6/4b1K1 w - - 1 34,g1f1 h8h1 f1e2 c6f3
4r1k1/1Qp2ppp/p7/1p6/8/2N5/Pnq2PPP/2BR2K1 w - - 0 21,c1b2 c2d1 c3d1 e8e1
1k1r3r/ppp2R2/7p/6p1/2P5/1P4QP/P2q2P1/R6K b - - 2 23,h6h5 g3c7 b8a8 c7b7
5Rk1/pp6/2p5/3p2q1/4r2n/2P5/PP3Q1K/8 b - - 1 35,g8g7 f2f7 g7h6 f8h8
5R1Q/7p/2p2n1k/p1Pp4/b2P1PP1/7P/3q2K1/8 w - - 2 41,g2g3 f6e4 g3h4 d2f2
r5k1/q4ppp/3Rp3/r3P3/4P3/6P1/3Q1PBP/6K1 b - - 2 31,a5a2 d6d8 a8d8 d2d8
1k5r/p1p2p2/Qp2p1p1/1N4qp/8/8/PPPn1P2/1K1R4 w - - 1 24,d1d2 g5g1 d2d1 g1d1
6qk/6p1/6B1/2b5/1p6/5QPK/1P1r3P/8 b - - 8 41,d2d6 f3h5 g8h7 h5h7
6k1/p1p1n1p1/1q1p3p/4p1PQ/2P5/3P3P/PP6/5K2 b - - 2 28,e7f5 h5e8 g8h7 g5g6
4rbk1/pp2r1pp/2b4N/2qpPQ2/8/2P3R1/P5PP/5R1K b - - 2 27,g8h8 f5f8 e8f8 f1f8
r5k1/pR3ppp/8/P3q3/8/6PP/5Q1K/8 b - - 0 31,e5a5 f2f7 g8h8 f7g7
4r1k1/6p1/RP6/2Np3n/6Qp/2P2PqP/6PK/8 w - - 4 38,g4g3 h4g3 h2g1 e8e1
2r5/3kb1pp/2r1pp2/1p1p4/n2P2P1/2PN2BP/RPK2P2/R7 w - - 4 37,c2b3 c6c3 b2c3 c8c3
1r3r1k/p1p3p1/1p2R2p/1P1B1p1Q/P1Pp3P/3PR1P1/3q1P2/6K1 b - - 0 29,d4e3 e6h6 g7h6 h5h6
r2q2k1/pp3p1p/5npb/3p2N1/3P1Q1P/1PP5/1P4K1/RNB1r3 b - - 2 21,f6e4 f4f7 g8h8 f7h7
4r2k/1p4pp/pq1rPp2/5p1Q/5P2/2P4P/PP4P1/2R1R2K b - - 8 26,d6e6 h5e8 e6e8 e1e8
4b1k1/1r6/p3NQp1/q2pP3/8/2r3P1/1p3P2/3R2K1 b - - 1 46,a5a1 f6f8 g8h7 e6g5
4r3/p2k2pp/2pb4/2pp4/6n1/1PN5/P1PP1PPP/R1B2K2 w - - 2 19,h2h3 g4h2 f1g1 e8e1
5rk1/4R2p/p2p2pQ/1pp2q2/2n5/P1B4P/6P1/7K b - - 0 31,f8f7 e7e8 f7f8 h6g7
5k2/1p6/2b1KB2/3p4/6Rp/P7/1P5r/8 b - - 0 40,h4h3 f6e7 f8e8 g4g8
6k1/p2n1ppp/4p1q1/3pP3/Pp4NQ/1n2B1PK/5P1P/7r b - - 1 30,g8h8 h4d8 d7f8 d8f8
2k3r1/pppqb3/2np1p1p/3Qp3/4P2N/2PP1N1P/PP3Pr1/R4R1K w - - 0 18,h4g2 d7h3 h1g1 h3g2
7k/1pp2rp1/1r1pqpRR/p7/4P3/2P3Q1/P1P3PP/2K5 b - - 0 27,g7h6 g6g8 h8h7 g3g6
r2r2k1/2p3pp/5p2/2N1p3/4Q3/4BN2/q4PPP/R5K1 w - - 0 25,a1a2 d8d1 f3e1 d1e1
5r1k/pb2b2P/4p1pP/2p1P1P1/2Q5/2P1P3/P6R/3qBKR1 w - - 13 34,h2f2 f8f2 f1f2 d1f3
5rk1/2R2pp1/8/3QP3/3B3p/2Pq2rP/P5P1/6RK w - - 0 28,e5e6 g3h3 g2h3 d3h3
8/3Q1kpp/p4p2/3p4/1P1P2PK/P3P2P/5Pq1/6r1 b - - 2 44,f7g6 d7e8 g6h6 e8h5
8/1p1n1R2/1n4pk/8/r3p1PP/P3P1K1/8/8 b - - 1 36,a4a3 g4g5 h6h5 f7h7
r2qkbnr/1p3ppp/p2pp3/2p5/P2nPP2/2N4P/1PPP2P1/R1BQKB1R w KQkq - 0 9,a4a5 d8h4 g2g3 h4g3
5r2/8/p2N2k1/4p3/1P4pp/2P1nP1K/1P3R1P/8 w - - 0 40,h3h4 f8h8 h4g3 h8h3
5B2/2p4k/bp1p4/3P1p2/2r1nN1P/4PK2/6R1/8 b - - 3 36,e4f6 g2g7 h7h8 f4g6
r3R3/P1p5/2pk4/3b4/1PpB4/2Pp2r1/8/4RK2 b - - 1 38,g3g8 d4c5 d6d7 e1e7
6r1/p2b1Q1k/3p3q/2pP4/3np3/1P2N1P1/P4PK1/3R4 b - - 0 31,h6g7 d1h1 d7h3 h1h3
8/R4pk1/4q2p/2p3p1/8/2PNn1PP/4QPbK/8 w - - 0 40,e2e3 e6h3 h2g1 h3h1
k4R2/P1p5/1p2p3/1P1pP2q/3P4/2P3pr/6Q1/6K1 b - - 3 32,a8a7 g2a2 a7b7 a2a8
r4rk1/5pb1/p2p3p/2qP4/4PNQ1/Pp1P1N2/1P3PP1/1K5R w - - 1 26,f4h5 c5c2 b1a1 c2b2
7Q/p6p/1p3pp1/3n2kP/1b4q1/8/PP1NP3/R1B1K2R w KQ - 0 23,h8h7 g4g3 e1d1 d5e3
4r1k1/p1p1qpp1/2p3np/8/P3Q3/2N5/1PP2PPP/3rR1K1 w - - 0 21,e4e7 d1e1 e7e1 e8e1
5R2/1p3Qpk/1Pp3p1/3pq3/5P2/7P/6PK/1r6 b - - 0 36,e5e1 f7g8 h7h6 g8h8
4Q3/6kp/3r2p1/1rq1p3/4Pp2/2P4P/6P1/1R5K w - - 2 46,b1b5 d6d1 h1h2 c5g1
r1bq1rk1/ppppbpp1/5n2/6N1/4N2Q/3PP3/PP3PPP/R3K2R b KQ - 0 11,c7c6 e4f6 g7f6 h4h7
7k/5pp1/3b3p/3p4/1p1Pn2N/3Q2PP/1P3P2/r1qNR1K1 b - - 2 25,e4g5 e1e8 d6f8 e8f8
r2q1rk1/pb3p2/1p2pnNP/2pp4/5P2/2NQ4/PPP2PP1/R3K2R b KQ - 0 15,f7g6 d3g6 g8h8 g6g7
r4rk1/1R3p2/p2pR1pp/3P4/P4P1q/2Q5/6PP/6K1 b - - 3 30,h4f4 e6g6 f7g6 c3g7
6k1/1q6/5pP1/1p3P1K/p5P1/P1P5/1P5Q/8 w - - 2 59,h5h6 b7g7 h6h5 g7h8
2R5/5Rpk/p2rnp1p/rp2p3/6P1/7P/5PBK/8 b - - 1 39,a5a2 g2e4 f6f5 e4f5
r1b3k1/ppp2ppp/7q/4b3/4B3/3r2P1/PP1N1Q1P/R4R1K b - - 2 18,d3d2 f2f7 g8h8 f7e8
6k1/p5p1/1p4P1/2pr4/3p4/3Pr3/PPP5/2K2R1R b - - 0 29,d5g5 h1h8 g8h8 f1f8
5rk1/p1pR3p/1p2N1p1/4N3/8/4K3/PP5r/8 b - - 0 25,f8e8 d7g7 g8h8 e5f7
2r3k1/6pp/p1pQ4/3p4/2p1p1P1/2P1P1BP/P3KP2/1R5q b - - 2 33,h1b1 d6e6 g8h8 e6c8
r1b2bk1/ppp2p1p/7n/4n2Q/2B1p3/8/PPPP1qPP/RNBK3R w - - 0 12,h5e5 c8g4 c4e2 f2e2
r1b2r1k/bpp1qp2/p2p1n2/6Q1/1PP1B3/P1pP2P1/4PP1P/R4RK1 b - - 3 17,f8g8 g5h6 f6h7 h6h7
2r4r/pk1Q1ppq/8/4P3/5P2/4p3/P4N2/2R2K2 b - - 1 30,b7a8 c1c8 h8c8 d7c8
r2q1r1k/pb1p3B/1pn1p2Q/8/1P6/2b5/P4PPP/R4RK1 b - - 0 20,d8f6 h7g6 h8g8 h6h7
r5k1/1R3pp1/7p/3pP3/2pP4/r2q3P/P4QP1/R5K1 b - - 5 27,a3a7 f2f7 g8h8 f7g7
2r3k1/RQ3pp1/p3pn1p/3p4/2nP2P1/7P/4q1BK/8 b - - 1 31,c8e8 b7f7 g8h8 f7g7
1k2qr2/ppp2pR1/1nn3P1/3p4/3P1QB1/2P5/1P1N1P2/2K5 b - - 0 29,f7g6 f4c7 b8a8 c7b7
3k4/R2P4/2P1b3/7p/1P2n1p1/6P1/P4p1P/6K1 w - - 0 45,g1f1 e6c4 f1g2 f2f1q
rkb3nq/pp2b3/1n2p3/1Q4pp/P2PB3/4P3/1P3PPP/R3K2R b KQ - 0 19,g8f6 b5e5 e7d6 e5d6
5Qb1/1p4B1/6q1/6pk/5p1p/5P1P/6PK/8 b - - 9 44,g8f7 f8h8 g6h7 h8h7
r5k1/5ppp/6P1/3Q4/2p3K1/1r1b4/p7/R7 b - - 0 42,d3g6 d5a8 b3b8 a8b8
q2Q1rk1/pbR2ppp/1p6/2p2Q2/8/1P4P1/P4P1P/6K1 b - - 0 31,f8d8 f5f7 g8h8 f7g7
2r5/8/5p1R/4p3/4k2N/1P4P1/P1K2n1P/8 w - - 1 34,c2b2 f2d3 b2a1 c8c1
r4r1k/pp4p1/7p/8/P2PQ3/8/5qPP/1R2R2K w - - 2 25,b1b7 f2f1 e1f1 f8f1
2r3k1/5ppp/1q1N4/3Q4/1P6/4P3/5PPP/r4BK1 b - - 2 31,c8c1 d5f7 g8h8 f7e8
3r3k/R7/1p4R1/6P1/5P2/Pr6/6K1/8 w - - 5 66,g6f6 d8d2 g2f1 b3b1
2r2r2/3q1pk1/3bpnp1/6Q1/1PpP1P2/P5PR/7P/2R3K1 b - - 8 32,d6e7 g5h6 g7g8 h6h8
1br1r1k1/1pqn1ppp/p2N1n2/8/P3p3/2N1B3/1PP1QPPP/R3R1K1 w - - 2 17,d6e8 c7h2 g1f1 h2h1
2k2r2/ppp5/6pp/8/3n4/6P1/PP1P2PP/R1B3K1 w - - 0 21,d2d3 d4e2 g1h1 f8f1
r2q2k1/p1p1p1R1/1p1p3P/8/4p1Q1/8/PPP2r2/1K6 b - - 0 26,g8h8 g7h7 h8h7 g4g7
4r1k1/1p3ppp/p7/8/1P6/P1n1P2P/2r1N1P1/3RKR2 w - - 3 26,e2c3 e8e3 c3e2 c2e2
6k1/1p5p/p3n1p1/1P2P3/3b4/KP1B2QP/6P1/2r5 w - - 0 40,d3c4 c1a1 a3b4 a6a5
8/1p1k4/p1b5/5p1p/6pP/3PB1P1/P3rP2/2Q3K1 w - - 4 34,c1c5 e2e1 g1h2 e1h1
4r3/2R5/4k3/1p2P2p/3RbPp1/2p3P1/1p3KP1/8 b - - 3 42,b2b1q d4d6 e6f5 d6f6
2kr4/pp1n1Rp1/2p3p1/8/4n3/2B1q1P1/PPP1B1Pr/3RQ2K w - - 0 19,h1h2 d8h8 e2h5 h8h5
2k1r3/2p1Bpp1/2p1p3/8/1R3Pp1/3P3r/2P1K3/R7 b - - 3 31,e8e7 a1a8 c8d7 b4d4
r5k1/p6p/3pQp1B/4p1pq/2PpP3/2b4P/P1P2PPK/8 b - - 5 26,g8h8 e6f6 h8g8 f6g7
2k3nr/2p2ppp/2B5/R3P3/2P5/6P1/2brnP1P/5R1K b - - 0 20,c8d8 a5a8 d8e7 a8e8
r3r1k1/pR3ppp/8/2p5/1n6/5Q2/2P2PPP/4qBK1 b - - 3 23,a8b8 f3f7 g8h8 f7g7
5r1k/6p1/7p/p1PQ4/P7/6P1/2P1q2P/3R3K w - - 1 31,c2c4 f8f1 d1f1 e2f1
r2q1rk1/pp1n3p/2pnb1B1/3p4/3P4/6R1/PPQ2PPP/RN4K1 b - - 0 18,h7g6 c2g6 g8h8 g6h5
r1b2rk1/p4ppn/2p1pn2/1p1p2p1/3P2N1/2N1P2Q/PqPK1PP1/R6R b - - 1 16,e6e5 g4f6 g7f6 h3h7
7R/7P/2r5/5p2/p3bP2/k5P1/P4P1K/R7 w - - 3 40,a1d1 c6h6 h2g1 h6h1
6k1/pp3b2/1q1r1p1B/3p4/3P4/Q4P2/5KPP/4r3 b - - 1 35,d6e6 a3f8 g8h7 f8g7
6k1/4p2R/3p2p1/3P1bK1/2r3P1/2Pr1P2/8/7R b - - 6 38,d3f3 h7h8 g8f7 h1h7
8/R4p1k/4pqpp/8/5n2/3Q1P2/5P1P/4R1K1 w - - 2 33,d3c2 f6g5 g1f1 g5g2
r3r1k1/ppn2p2/6p1/3b2N1/1P1p1Q2/P4PP1/2P3K1/8 b - - 2 33,c7e6 f4f7 g8h8 f7h7
r7/pppb3k/3p3p/3Pp3/4N2p/3PP2q/PP2NPQ1/6K1 b - - 0 36,a8g8 e4f6 h7h8 g2g8
6r1/pp3pk1/2p3r1/4R3/3Pp3/2P4K/PPB5/5R2 w - - 1 36,c2e4 g8h8 e5h5 h8h5
5rk1/5ppn/2p4p/Q2bP3/2P2B1q/5N2/Pr3PPP/R2R2K1 w - - 1 22,c4d5 h4f2 g1h1 f2g2
q5k1/4ppbn/p2R2p1/2p1N1Pp/4P2P/5QB1/Pp6/1K6 b - - 0 35,e7d6 f3f7 g8h8 e5g6
3rr1k1/R4ppp/1pp1n3/1q6/3N4/3P2P1/2P2QKP/7R b - - 9 26,e6d4 f2f7 g8h8 f7g7
2kr2n1/p1p3Qp/2p3p1/3p3q/8/1P2P1Pb/PBPP3P/RN3RK1 w - - 3 16,f1f7 h5d1 g1f2 d1f1
3r3k/3N1pp1/4p2p/2Q1p3/8/P7/1PP4q/1K4R1 b - - 3 31,d8d7 c5f8 h8h7 f8g7
5rk1/3bq1b1/6pp/3p4/1p1P3Q/1P2PpR1/1P4PP/6K1 w - - 0 31,h4e7 f3f2 g1f1 d7b5
1r1r2k1/pbR2p2/1p4B1/3p1Nb1/4n3/8/PP3P2/5K1R b - - 0 29,f7g6 c7g7 g8f8 h1h8
6k1/1p3pp1/p6p/8/2N2PP1/P4R2/1q4rK/4Q3 w - - 0 35,h2h1 g2h2 h1g1 b2g2
2k1Q3/1ppq3p/r2b1B2/p2P1Pp1/8/P7/1P5P/4R1K1 b - - 4 29,d7e8 e1e8 c8d7 e8d8
3r2k1/p3Rpp1/7p/2p2Q2/2P5/3PK3/2q3PP/8 b - - 4 31,a7a5 f5f7 g8h8 f7g7
8/3k1r2/2R3pp/4R3/8/2p4P/P5r1/2K5 w - - 1 39,c6c3 f7f1 e5e1 f1e1
r2n1rk1/pp3ppp/3p1B2/3qp3/2B1P3/P4P1P/1P3P1K/3R2R1 b - - 0 18,d5d1 g1g7 g8h8 g7g1
r6k/pp5p/2n3pQ/5rN1/2B3qP/2p5/P6K/R4R2 b - - 5 26,f5g5 f1f8 a8f8 h6f8
3q1n1k/7p/1p2p3/p2p4/3P1B2/1P1K1P2/P1r5/6RR b - - 2 36,c2a2 f4e5 d8f6 e5f6
r2qnrk1/p2b3Q/4p1p1/3pB1bP/1ppP4/2P1P3/PPBN1P2/R3K2R b KQ - 0 18,g8h7 h5g6 h7g8 h1h8
r1bq2k1/p1pp1ppp/2pb1r2/6Nn/3P4/2P3PP/PPQ2P2/R3R1K1 b - - 6 18,h7h6 c2h7 g8f8 h7h8
3r3k/1p1P2p1/5p1p/3Q4/1P2P3/P6P/2r1qPP1/R2R2K1 w - - 3 34,d5e6 e2f2 g1h2 f2g2
1r6/7R/3R3p/1b2Pp2/6k1/2p1K3/1r5P/8 b - - 2 44,c3c2 d6g6 g4h5 h7h6
r4r1k/ppP3pp/2n1R3/8/2Bp4/1Qb2qP1/P4P1P/1RB3K1 w - - 2 19,c4d5 f3f2 g1h1 f2f1
3r1rk1/7p/Bp1p1ppB/2pPq2n/3bP3/5P2/PP1Q2PP/R3R2K w - - 2 24,f3f4 h5g3 h2g3 e5h5
4r1k1/p4p1p/1pp3p1/3n4/3BR1Q1/2P3P1/q4P1P/6K1 b - - 0 27,e8e4 g4c8 e4e8 c8e8
rn1q1rk1/pb2bppp/4pn2/1pp5/3PNB2/2PQ1N1P/PPB2PP1/R4RK1 b - - 1 13,c5c4 e4f6 g7f6 d3h7
1k1r3r/ppp2R1p/3p4/8/2Q5/4PK1P/Pq6/R7 b - - 1 23,b2a1 c4c7 b8a8 c7b7
3r2k1/2q1bb1p/p4ppQ/1p2p2P/4N3/P1Pr1PN1/1P4P1/2R1R2K b - - 2 33,e7f8 e4f6 g8h8 h6h7
3rr1k1/pb2bppp/1pq1nn2/1N6/5P1Q/2N2P1P/PPB3P1/R4RK1 b - - 6 20,f6d5 h4h7 g8f8 h7h8
4r1k1/pp3ppp/7q/3nN3/3p4/3P1QP1/PP3P2/2R3K1 b - - 10 26,e8e5 c1c8 e5e8 c8e8
8/4kpQ1/4p3/4P1P1/p2Pq2K/2P4R/P5rP/8 w - - 3 33,h4h5 e4g4 h5h6 g4h3
5rk1/1pR3p1/1p1p3p/1q1P2N1/1P6/P3R2P/3Q1rP1/7K w - - 0 29,d2d4 b5f1 h1h2 f1g2
